breakdown,value,secondary_value,count
candidate_family,amine,,672
candidate_family,fluorocarbon,,12
candidate_family,inorganic,,3
candidate_source,template_generation,,634
candidate_source,semiconductor_amine,,37
candidate_source,formula_generation,,11
candidate_source,seed,,5
generation_rule,tertiary_amine,,492
generation_rule,secondary_amine,,129
generation_rule,semiconductor_amine_curated,,37
generation_rule,curated_fluorocarbon_formula,,11
generation_rule,primary_amine,,11
generation_rule,seed_list,,5
generation_rule,cyclic_amine,,2
phase_25C_1atm,liquid,,492
phase_25C_1atm,solid,,160
phase_25C_1atm,gas,,22
phase_25C_1atm,unknown,,10
phase_25C_1atm,gas_or_supercritical,,3
supply_class,heated_source_required,,228
supply_class,heated_source_likely,,193
supply_class,solid_or_sublimation_source_review,,140
supply_class,bubbler_or_direct_liquid_source,,91
supply_class,compressed_or_liquefied_gas,,25
supply_class,unknown_review_required,,10
data_quality,Partial,,686
data_quality,D,,1
amine_class,tertiary,,496
amine_class,secondary,,133
amine_class,primary,,18
amine_class,amino_silane,,8
amine_class,cyclic,,8
amine_class,diamine,,4
amine_class,boron_amide,,1
amine_class,inorganic_nitrogen_source,,1
amine_class,metal_amide,,1
amine_class,polyamine,,1
amine_class,silylamine,,1
amine_class_label,tertiary_amine,,496
amine_class_label,secondary_amine,,133
amine_class_label,primary_amine,,18
amine_class_label,amino_silane,,8
amine_class_label,cyclic_amine,,8
amine_class_label,diamine,,4
amine_class_label,boron_amide,,1
amine_class_label,inorganic_nitrogen_source,,1
amine_class_label,metal_amide,,1
amine_class_label,polyamine,,1
amine_class_label,silylamine,,1
amine_substituent_profile,fluorinated_alkyl+alkyl,,250
amine_substituent_profile,fluorinated_alkyl,,75
amine_substituent_profile,fluorinated_alkyl+unsaturated,,72
amine_substituent_profile,fluorinated_alkyl+unsaturated+alkyl,,69
amine_substituent_profile,alkyl,,63
amine_substituent_profile,unsaturated+alkyl,,33
amine_substituent_profile,fluorinated_alkyl+cyclic_alkyl,,31
amine_substituent_profile,fluorinated_alkyl+cyclic_alkyl+alkyl,,31
amine_substituent_profile,cyclic_alkyl+alkyl,,12
amine_substituent_profile,fluorinated_alkyl+unsaturated+cyclic_alkyl,,12
amine_substituent_profile,cyclic_ring,,8
amine_substituent_profile,unsaturated,,7
amine_substituent_profile,unsaturated+cyclic_alkyl,,3
amine_substituent_profile,unsaturated+cyclic_alkyl+alkyl,,3
amine_substituent_profile,cyclic_alkyl,,2
amine_substituent_profile,unknown,,1
amine_fluorination_level,single_fluorinated_substituent,,308
amine_fluorination_level,multiple_fluorinated_substituents,,232
amine_fluorination_level,none,,132
amine_precursor_family,unknown,,635
amine_precursor_family,aminosilane_precursor,,8
amine_precursor_family,cyclic_amine,,6
amine_precursor_family,volatile_amine,,6
amine_precursor_family,fluorinated_amine,,5
amine_precursor_family,diamine_ligand,,4
amine_precursor_family,bulky_amine,,3
amine_precursor_family,boron_amide_precursor,,1
amine_precursor_family,metal_amide_precursor,,1
amine_precursor_family,nitrogen_source,,1
amine_precursor_family,polyamine_ligand,,1
amine_precursor_family,silylamine_surface_modifier,,1
candidate_scope,unknown,,635
candidate_scope,semiconductor_amine_curated,,37
fluorinated_amine,yes,,540
fluorinated_amine,no,,132
amine_pfas_flag,possible,,418
amine_pfas_flag,no,,132
amine_pfas_flag,yes,,122
amine_class_by_pfas_flag,tertiary,possible,354
amine_class_by_pfas_flag,tertiary,yes,89
amine_class_by_pfas_flag,secondary,possible,60
amine_class_by_pfas_flag,tertiary,no,53
amine_class_by_pfas_flag,secondary,no,43
amine_class_by_pfas_flag,secondary,yes,30
amine_class_by_pfas_flag,primary,no,11
amine_class_by_pfas_flag,amino_silane,no,8
amine_class_by_pfas_flag,cyclic,no,8
amine_class_by_pfas_flag,diamine,no,4
amine_class_by_pfas_flag,primary,possible,4
amine_class_by_pfas_flag,primary,yes,3
amine_class_by_pfas_flag,boron_amide,no,1
amine_class_by_pfas_flag,inorganic_nitrogen_source,no,1
amine_class_by_pfas_flag,metal_amide,no,1
amine_class_by_pfas_flag,polyamine,no,1
amine_class_by_pfas_flag,silylamine,no,1
amine_class_by_fluorination,tertiary,yes,443
amine_class_by_fluorination,secondary,yes,90
amine_class_by_fluorination,tertiary,no,53
amine_class_by_fluorination,secondary,no,43
amine_class_by_fluorination,primary,no,11
amine_class_by_fluorination,amino_silane,no,8
amine_class_by_fluorination,cyclic,no,8
amine_class_by_fluorination,primary,yes,7
amine_class_by_fluorination,diamine,no,4
amine_class_by_fluorination,boron_amide,no,1
amine_class_by_fluorination,inorganic_nitrogen_source,no,1
amine_class_by_fluorination,metal_amide,no,1
amine_class_by_fluorination,polyamine,no,1
amine_class_by_fluorination,silylamine,no,1
