property_name,total_molecules,present_or_informative_count,missing_or_unknown_count,coverage_rate
tm_C,687,677,10,0.9854439592430859
tb_C,687,677,10,0.9854439592430859
tc_C,687,677,10,0.9854439592430859
pc_MPa,687,677,10,0.9854439592430859
pvap_25C_kPa,687,674,13,0.9810771470160117
pvap_40C_kPa,687,674,13,0.9810771470160117
pvap_60C_kPa,687,674,13,0.9810771470160117
gwp100_ar6,687,10,677,0.01455604075691412
pfas_flag,687,687,0,1.0
persistence_screen,687,128,559,0.18631732168850074
reactive_groups,687,674,13,0.9810771470160117
kinetics_coverage,687,2,685,0.002911208151382824
